"consent","did_donate_account","sex","age","education","groups_don","groups_quest"
"no","No","female",73,"vmbo",NA,10
"yes","No","female",65,"hbo",NA,10
"no","No","female",47,"hbo",NA,3
"no","No","male",49,"mbo",NA,22
"yes","Yes","female",35,"wo",49,30
"no","No","male",59,"vmbo",NA,3
"no","No","female",60,"vmbo",NA,NA
"no","No","male",77,"havo/vwo",NA,NA
"no","No","male",64,"vmbo",NA,5
"no","No","female",32,"hbo",NA,6
"no","No","male",23,"primary education",NA,1
"no","No","female",81,"primary education",NA,NA
"no","No","male",54,"vmbo",NA,3
"no","No","female",68,"primary education",NA,2
"yes","Yes","female",56,"wo",71,5
"yes","Yes","female",67,"vmbo",142,25
"no","No","female",70,"hbo",NA,5
"no","No","male",67,"hbo",NA,NA
"no","No","female",28,"wo",NA,25
"no","No","male",75,"vmbo",NA,5
"no","No","female",69,"hbo",NA,10
"yes","No","male",73,"vmbo",NA,3
"no","No","male",38,"mbo",NA,4
"no","No","female",56,"havo/vwo",NA,6
"no","No","female",59,"hbo",NA,10
"yes","No","male",38,"hbo",NA,20
"yes","Yes","male",73,"havo/vwo",19,5
"no","No","male",54,"mbo",NA,4
"no","No","female",45,"mbo",NA,10
"no","No","male",94,"havo/vwo",NA,4
"no","No","male",33,"hbo",NA,25
"yes","Yes","male",62,"vmbo",NA,5
"yes","Yes","female",32,"hbo",51,45
"no","No","female",55,"havo/vwo",NA,10
"no","No","male",80,"havo/vwo",NA,NA
"no","No","male",38,"hbo",NA,25
"no","No","male",29,"mbo",NA,10
"no","No","female",69,"hbo",NA,6
"no","No","female",85,"vmbo",NA,NA
"no","No","female",66,"hbo",NA,NA
"no","No","female",21,"havo/vwo",NA,10
"no","No","male",75,"vmbo",NA,NA
"yes","Yes","female",32,"mbo",9,6
"no","No","male",39,"hbo",NA,3
"yes","Yes","female",28,"hbo",118,15
"no","No","male",68,"havo/vwo",NA,2
"yes","No","female",36,"hbo",NA,25
"yes","Yes","female",32,"hbo",10,8
"yes","No","male",32,"hbo",NA,20
"no","No","male",74,"hbo",NA,4
"no","No","male",74,"wo",NA,5
"yes","No","female",34,"wo",NA,20
"no","No","female",70,"havo/vwo",NA,5
"no","No","male",70,"hbo",NA,1
"no","No","female",83,"mbo",NA,NA
"no","No","female",50,"mbo",NA,1
"no","No","female",53,"havo/vwo",NA,10
"no","No","male",75,"mbo",NA,1
"no","No","male",28,"hbo",NA,25
"no","No","male",16,"primary education",NA,NA
"yes","Yes","male",39,"hbo",20,8
"no","No","female",50,"mbo",NA,5
"yes","No","male",16,"primary education",NA,5
"no","No","male",63,"primary education",NA,1
"no","No","male",71,"mbo",NA,3
"no","No","male",63,"mbo",NA,8
"no","No","male",64,"wo",NA,3
"no","No","female",49,"mbo",NA,4
"no","No","female",91,"wo",NA,NA
"yes","No","male",25,"hbo",NA,10
"no","No","female",71,"primary education",NA,2
"no","No","male",52,"mbo",NA,NA
"no","No","male",65,"mbo",NA,3
"no","No","male",50,"mbo",NA,5
"no","No","male",70,"hbo",NA,NA
"no","No","female",73,"hbo",NA,2
"no","No","female",30,"mbo",NA,4
"yes","Yes","male",21,"havo/vwo",172,45
"no","No","female",57,"hbo",NA,20
"no","No","male",49,"mbo",NA,8
"no","No","female",84,"havo/vwo",NA,NA
"no","No","female",67,"wo",NA,5
"no","No","male",53,"hbo",NA,1
"no","No","male",72,"hbo",NA,10
"no","No","male",51,"mbo",NA,NA
"no","No","male",74,"hbo",NA,4
"no","No","female",44,"hbo",NA,20
"no","No","female",23,"wo",NA,80
"no","No","female",62,"hbo",NA,20
"no","No","female",74,"vmbo",NA,6
"no","No","female",71,"vmbo",NA,NA
"no","No","male",46,"hbo",NA,3
"no","No","male",58,"primary education",NA,5
"no","No","male",76,"vmbo",NA,NA
"no","No","male",72,"wo",NA,2
"no","No","female",58,"vmbo",NA,6
"yes","No","female",54,"mbo",NA,3
"no","No","male",19,"havo/vwo",NA,20
"yes","No","female",17,"vmbo",NA,1
"yes","No","female",49,"wo",NA,4
"no","No","male",80,"hbo",NA,3
"no","No","male",64,"hbo",NA,1
"yes","No","male",29,"mbo",NA,5
"no","No","male",18,"havo/vwo",NA,10
"yes","No","female",22,"havo/vwo",NA,30
"no","No","male",40,"hbo",NA,NA
"yes","No","female",24,"wo",NA,80
"no","No","female",53,"vmbo",NA,4
"yes","Yes","female",39,"mbo",37,25
"no","No","male",32,"hbo",NA,12
"no","No","female",67,"vmbo",NA,5
"no","No","male",49,"wo",NA,6
"no","No","female",64,"vmbo",NA,2
"no","No","male",75,"mbo",NA,8
"no","No","male",49,"hbo",NA,5
"no","No","female",60,"hbo",NA,1
"yes","No","female",33,"vmbo",NA,NA
"no","No","female",45,"vmbo",NA,NA
"no","No","male",62,"mbo",NA,NA
"no","No","female",53,"hbo",NA,3
"no","No","male",51,"primary education",NA,NA
"no","No","male",65,"hbo",NA,2
"no","No","female",51,"mbo",NA,NA
"no","No","female",61,"mbo",NA,5
"yes","No","male",73,"hbo",NA,10
"no","No","female",64,"havo/vwo",NA,NA
"no","No","female",65,"mbo",NA,2
"yes","No","male",23,"havo/vwo",NA,8
"no","No","female",63,"vmbo",NA,6
"no","No","male",77,"hbo",NA,NA
"no","No","male",17,"vmbo",NA,1
"no","No","female",69,"hbo",NA,5
"no","No","male",68,"hbo",NA,5
"no","No","female",64,"hbo",NA,10
"no","No","male",75,"vmbo",NA,1
"no","No","male",79,"havo/vwo",NA,NA
"no","No","female",64,"mbo",NA,3
"no","No","male",52,"primary education",NA,NA
"no","No","female",23,"hbo",NA,10
"no","No","female",64,"havo/vwo",NA,3
"no","No","male",70,"vmbo",NA,10
"no","No","female",17,"vmbo",NA,12
"no","No","female",19,"primary education",NA,NA
"no","No","male",70,"hbo",NA,2
"yes","No","male",51,"mbo",NA,NA
"no","No","female",25,"hbo",NA,NA
"no","No","female",51,"hbo",NA,5
"yes","Yes","male",33,"mbo",40,10
"no","No","male",55,"mbo",NA,5
"yes","No","female",68,"wo",NA,NA
"no","No","female",68,"vmbo",NA,9
"no","No","female",42,"wo",NA,5
"no","No","male",85,"hbo",NA,NA
"yes","Yes","female",39,"hbo",15,5
"no","No","male",44,"wo",NA,15
"no","No","female",52,"wo",NA,5
"no","No","female",75,"hbo",NA,1
"no","No","female",52,"hbo",NA,15
"no","No","male",39,"hbo",NA,3
"yes","No","female",40,"wo",NA,20
"no","No","male",60,"wo",NA,2
"no","No","female",73,"vmbo",NA,5
"no","No","female",75,"vmbo",NA,0
"no","No","male",76,"vmbo",NA,2
"no","No","female",58,"hbo",NA,10
"yes","Yes","female",25,"wo",131,25
"yes","No","female",36,"hbo",NA,8
"no","No","male",44,"hbo",NA,10
"yes","No","female",49,"wo",NA,75
"no","No","female",67,"havo/vwo",NA,2
"yes","No","female",74,"vmbo",NA,4
"yes","Yes","female",16,"primary education",13,3
"no","No","male",66,"hbo",NA,25
"no","No","male",65,"vmbo",NA,NA
"no","No","female",66,"mbo",NA,5
"no","No","female",77,"vmbo",NA,NA
"yes","No","female",68,"primary education",NA,12
"no","No","female",73,"mbo",NA,NA
"no","No","female",17,"primary education",NA,5
"no","No","female",66,"mbo",NA,NA
"no","No","male",70,"havo/vwo",NA,4
"yes","No","male",26,"hbo",NA,100
"yes","Yes","female",16,"primary education",111,100
"no","No","female",69,"mbo",NA,15
"no","No","male",88,"vmbo",NA,NA
"no","No","female",81,"wo",NA,5
"no","No","male",72,"havo/vwo",NA,8
"no","No","female",76,"hbo",NA,3
"yes","No","male",54,"mbo",NA,NA
"no","No","male",67,"vmbo",NA,4
"no","No","male",74,"mbo",NA,2
"yes","No","male",66,"wo",NA,6
"no","No","female",71,"primary education",NA,1
"no","No","male",53,"vmbo",NA,NA
"no","No","female",36,"hbo",NA,20
"no","No","male",79,"vmbo",NA,1
"no","No","male",73,"primary education",NA,NA
"no","No","male",59,"vmbo",NA,5
"no","No","female",53,"mbo",NA,16
"yes","Yes","female",16,"primary education",25,25
"no","No","male",77,"vmbo",NA,NA
"no","No","female",76,"vmbo",NA,NA
"no","No","male",70,"hbo",NA,5
"no","No","male",73,"mbo",NA,NA
"no","No","male",64,"hbo",NA,3
"no","No","male",65,"hbo",NA,20
"no","No","female",73,"havo/vwo",NA,NA
"no","No","female",67,"mbo",NA,4
"no","No","male",70,"wo",NA,6
"yes","No","female",26,"havo/vwo",NA,120
"no","No","male",44,"hbo",NA,NA
"yes","Yes","female",70,"mbo",NA,NA
"no","No","female",42,"mbo",NA,NA
"no","No","female",63,"vmbo",NA,5
"yes","Yes","male",68,"hbo",57,25
"yes","No","male",57,"havo/vwo",NA,6
"yes","No","female",29,"wo",NA,40
"yes","No","male",52,"hbo",NA,25
"yes","No","female",35,"wo",NA,6
"no","No","female",19,"havo/vwo",NA,13
"no","No","male",53,"mbo",NA,3
"yes","No","male",72,"primary education",NA,1
"no","No","female",62,"hbo",NA,11
"no","No","female",65,"hbo",NA,5
"no","No","male",57,"mbo",NA,1
"no","No","female",54,"mbo",NA,5
"yes","No","male",64,"mbo",NA,NA
"no","No","female",68,"mbo",NA,NA
"no","No","male",66,"wo",NA,2
"yes","No","female",58,"wo",NA,15
"no","No","male",57,"mbo",NA,10
"no","No","female",74,"primary education",NA,1
"yes","Yes","female",46,"hbo",31,5
"no","No","female",53,"mbo",NA,NA
"no","No","female",59,"mbo",NA,3
"no","No","female",56,"vmbo",NA,5
"no","No","female",54,"vmbo",NA,NA
"no","No","female",66,"mbo",NA,NA
"no","No","male",65,"wo",NA,20
"yes","Yes","female",69,"hbo",42,4
"no","No","male",54,"havo/vwo",NA,NA
"no","No","female",38,"hbo",NA,4
"no","No","female",50,"mbo",NA,NA
"no","No","male",61,"mbo",NA,10
"no","No","female",32,"mbo",NA,NA
"no","No","male",91,"primary education",NA,NA
"no","No","female",79,"hbo",NA,2
"no","No","male",16,"primary education",NA,4
"yes","Yes","female",25,"wo",187,40
"no","No","male",65,"hbo",NA,15
"no","No","female",78,"wo",NA,3
"no","No","female",83,"vmbo",NA,NA
"no","No","male",44,"primary education",NA,3
"no","No","female",78,"vmbo",NA,NA
"no","No","female",74,"havo/vwo",NA,5
"no","No","male",67,"vmbo",NA,NA
"no","No","female",83,"hbo",NA,NA
"yes","No","female",57,"primary education",NA,NA
"no","No","male",51,"vmbo",NA,NA
"no","No","female",73,"hbo",NA,3
"no","No","male",83,"hbo",NA,NA
"no","No","male",36,"mbo",NA,5
"no","No","female",63,"hbo",NA,5
"yes","Yes","female",42,"wo",11,6
"no","No","female",75,"vmbo",NA,8
"no","No","female",44,"hbo",NA,10
"yes","Yes","female",18,"havo/vwo",77,30
"no","No","female",62,"havo/vwo",NA,10
"no","No","other",18,"havo/vwo",NA,45
"no","No","female",48,"wo",NA,8
"no","No","male",68,"wo",NA,4
"no","No","male",73,"mbo",NA,6
"yes","Yes","female",48,"wo",11,3
"no","No","female",54,"hbo",NA,25
"no","No","female",71,"mbo",NA,4
"no","No","male",66,"wo",NA,4
"yes","Yes","male",59,"wo",69,150
"no","No","female",75,"wo",NA,NA
"yes","No","female",43,"wo",NA,6
"yes","No","female",57,"hbo",NA,6
"no","No","female",80,"hbo",NA,2
"no","No","male",42,"mbo",NA,15
"yes","No","male",58,"mbo",NA,2
"yes","No","male",41,"hbo",NA,15
"no","No","female",74,"primary education",NA,1
"yes","No","male",61,"havo/vwo",NA,5
"yes","Yes","male",45,"wo",68,43
"no","No","female",49,"mbo",NA,3
"no","No","male",62,"hbo",NA,8
"no","No","female",76,"mbo",NA,NA
"yes","No","male",42,"vmbo",NA,NA
"yes","No","male",51,"vmbo",NA,NA
"no","No","male",67,"havo/vwo",NA,5
"no","No","male",79,"hbo",NA,3
"yes","Yes","female",40,"vmbo",25,5
"no","No","female",73,"hbo",NA,5
"yes","Yes","female",35,"wo",94,20
"yes","No","male",17,"primary education",NA,12
"no","No","male",64,"mbo",NA,3
"no","No","male",44,"mbo",NA,10
"no","No","male",71,"mbo",NA,4
"no","No","male",33,"primary education",NA,NA
"no","No","female",41,"hbo",NA,5
"yes","No","male",17,"primary education",NA,15
"no","No","female",59,"mbo",NA,20
"no","No","male",57,"wo",NA,3
"no","No","female",17,"primary education",NA,25
"yes","No","female",75,"havo/vwo",NA,NA
"no","No","female",48,"mbo",NA,6
"no","No","male",55,"havo/vwo",NA,4
"no","No","female",37,"wo",NA,17
"no","No","female",62,"primary education",NA,2
"no","No","male",64,"wo",NA,5
"no","No","female",83,"havo/vwo",NA,1
"no","No","male",74,"hbo",NA,NA
"no","No","male",64,"vmbo",NA,6
"no","No","female",33,"mbo",NA,3
"no","No","female",57,"vmbo",NA,NA
"no","No","male",79,"primary education",NA,NA
"no","No","female",32,"wo",NA,20
"no","No","male",32,"wo",NA,3
"yes","No","female",64,"vmbo",NA,NA
"no","No","male",82,"wo",NA,5
"no","No","female",30,"hbo",NA,15
"no","No","male",36,"mbo",NA,8
"no","No","male",82,"primary education",NA,1
"no","No","male",43,"primary education",NA,7
"no","No","male",73,"wo",NA,6
"yes","No","male",46,"wo",NA,20
"yes","No","male",56,"mbo",NA,3
"no","No","female",46,"hbo",NA,NA
"no","No","female",45,"hbo",NA,35
"yes","No","male",60,"hbo",NA,10
"yes","No","female",62,"primary education",NA,20
"no","No","male",49,"primary education",NA,NA
"no","No","female",49,"wo",NA,15
"yes","Yes","female",62,"mbo",5,1
"no","No","female",75,"hbo",NA,10
"no","No","female",68,"havo/vwo",NA,2
"yes","Yes","female",48,"mbo",NA,1
"no","No","female",45,"mbo",NA,8
"yes","No","female",63,"hbo",NA,10
"no","No","male",76,"primary education",NA,5
"no","No","male",52,"hbo",NA,5
"yes","Yes","female",32,"hbo",30,10
"no","No","female",32,"hbo",NA,4
"yes","No","male",72,"mbo",NA,6
"no","No","female",27,"hbo",NA,NA
"no","No","female",80,"vmbo",NA,NA
"yes","No","female",21,"wo",NA,30
"no","No","male",62,"mbo",NA,4
"no","No","female",19,"havo/vwo",NA,25
"no","No","female",78,"vmbo",NA,3
"yes","No","male",23,"hbo",NA,100
"no","No","female",60,"havo/vwo",NA,2
"no","No","male",77,"hbo",NA,5
"no","No","male",61,"mbo",NA,NA
"no","No","female",75,"hbo",NA,5
"no","No","male",55,"vmbo",NA,4
"no","No","male",31,"hbo",NA,25
"no","No","female",60,"mbo",NA,NA
"yes","No","male",42,"wo",NA,4
"no","No","female",80,"vmbo",NA,NA
"no","No","female",66,"vmbo",NA,8
"no","No","female",40,"mbo",NA,NA
"no","No","female",67,"vmbo",NA,2
"yes","Yes","male",26,"wo",151,20
"no","No","female",79,"primary education",NA,NA
"no","No","female",58,"hbo",NA,2
"yes","Yes","female",41,"vmbo",NA,1
"no","No","female",54,"hbo",NA,5
"yes","No","female",74,"havo/vwo",NA,6
"no","No","female",49,"mbo",NA,5
"yes","No","male",49,"wo",NA,25
"no","No","female",23,"havo/vwo",NA,NA
"no","No","female",67,"hbo",NA,5
"no","No","female",56,"mbo",NA,4
"no","No","female",33,"mbo",NA,3
"yes","No","male",66,"hbo",NA,10
"no","No","female",54,"havo/vwo",NA,3
"no","No","male",86,"wo",NA,NA
"no","No","female",72,"mbo",NA,2
"no","No","female",67,"mbo",NA,6
"yes","Yes","female",22,"havo/vwo",128,25
"no","No","male",80,"vmbo",NA,1
"no","No","male",53,"havo/vwo",NA,7
"no","No","female",75,"hbo",NA,2
"no","No","male",66,"mbo",NA,3
"yes","No","male",38,"mbo",NA,5
"no","No","female",64,"wo",NA,20
"no","No","male",67,"hbo",NA,6
"no","No","female",35,"wo",NA,8
"no","No","male",49,"mbo",NA,2
"no","No","male",64,"hbo",NA,NA
"no","No","male",81,"mbo",NA,NA
"no","No","female",52,"mbo",NA,5
"yes","Yes","male",31,"wo",114,10
"yes","Yes","female",45,"mbo",74,8
"yes","No","female",26,"hbo",NA,40
"no","No","male",49,"mbo",NA,8
"no","No","male",25,"mbo",NA,3
"yes","No","female",69,"hbo",NA,NA
"no","No","female",41,"wo",NA,5
"no","No","male",66,"havo/vwo",NA,NA
"no","No","male",76,"mbo",NA,20
"no","No","male",69,"vmbo",NA,3
"no","No","female",89,"vmbo",NA,NA
"no","No","male",52,"mbo",NA,25
"no","No","female",69,"vmbo",NA,4
"no","No","male",76,"hbo",NA,6
"yes","No","female",33,"hbo",NA,20
"yes","Yes","female",66,"wo",45,12
"no","No","female",88,"hbo",NA,NA
"yes","No","male",47,"mbo",NA,10
"no","No","female",88,"hbo",NA,2
"no","No","male",64,"mbo",NA,4
"no","No","male",56,"hbo",NA,2
"no","No","male",61,"wo",NA,4
"no","No","male",48,"vmbo",NA,NA
"no","No","male",63,"vmbo",NA,1
"no","No","female",81,"wo",NA,7
"no","No","female",62,"primary education",NA,NA
"no","No","male",43,"hbo",NA,25
"no","No","female",64,"vmbo",NA,5
"no","No","female",20,"havo/vwo",NA,5
"no","No","female",55,"havo/vwo",NA,4
"no","No","male",60,"vmbo",NA,NA
"no","No","male",43,"hbo",NA,8
"yes","Yes","male",29,"wo",65,10
"yes","Yes","male",65,"hbo",NA,5
"no","No","female",23,"primary education",NA,15
"no","No","male",92,"primary education",NA,NA
"yes","No","male",71,"mbo",NA,5
"no","No","female",50,"mbo",NA,35
"no","No","female",71,"hbo",NA,2
"no","No","female",83,"vmbo",NA,NA
"yes","No","female",57,"hbo",NA,15
"yes","Yes","female",69,"vmbo",24,7
"no","No","male",80,"hbo",NA,NA
"no","No","male",75,"hbo",NA,6
"yes","No","male",40,"hbo",NA,25
"yes","Yes","female",53,"hbo",11,5
"no","No","male",62,"mbo",NA,15
"no","No","female",52,"vmbo",NA,NA
"yes","No","male",21,"primary education",NA,8
"yes","No","female",22,"mbo",NA,5
"no","No","male",16,"vmbo",NA,5
"no","No","female",60,"hbo",NA,6
"no","No","male",73,"wo",NA,4
"no","No","female",31,"wo",NA,15
"no","No","female",42,"mbo",NA,3
"no","No","male",35,"hbo",NA,100
"yes","No","male",88,"mbo",NA,NA
"no","No","female",53,"havo/vwo",NA,NA
"no","No","female",67,"vmbo",NA,NA
"no","No","female",56,"mbo",NA,8
"no","No","female",32,"hbo",NA,3
"yes","No","male",60,"wo",NA,3
"yes","No","male",28,"wo",NA,12
"no","No","male",25,"wo",NA,NA
"no","No","male",96,"wo",NA,NA
"no","No","female",37,"hbo",NA,15
"yes","No","male",48,"mbo",NA,3
"yes","No","female",48,"hbo",NA,20
"no","No","female",56,"mbo",NA,10
"yes","Yes","female",20,"havo/vwo",59,30
"no","No","female",54,"vmbo",NA,1
"no","No","male",64,"wo",NA,10
"no","No","male",71,"hbo",NA,5
"yes","No","female",37,"havo/vwo",NA,6
"no","No","male",55,"primary education",NA,NA
"no","No","male",42,"primary education",NA,10
"no","No","female",37,"havo/vwo",NA,6
"no","No","female",59,"wo",NA,25
"no","No","female",71,"vmbo",NA,2
"no","No","male",66,"vmbo",NA,NA
"yes","Yes","male",24,"hbo",181,25
"yes","No","female",62,"mbo",NA,3
"no","No","female",76,"wo",NA,NA
"no","No","female",35,"hbo",NA,20
"no","No","male",24,"vmbo",NA,NA
"no","No","female",48,"wo",NA,10
"no","No","female",69,"mbo",NA,NA
"no","No","female",63,"mbo",NA,NA
"no","No","male",68,"wo",NA,3
"no","No","female",79,"vmbo",NA,3
"no","No","female",20,"vmbo",NA,20
"no","No","male",60,"hbo",NA,10
"yes","Yes","female",17,"primary education",7,5
"no","No","female",72,"primary education",NA,6
"no","No","male",69,"hbo",NA,9
"no","No","female",73,"mbo",NA,6
"no","No","female",16,"primary education",NA,5
"yes","Yes","male",37,"mbo",1,NA
"no","No","male",56,"hbo",NA,10
"no","No","male",41,"hbo",NA,25
"no","No","male",68,"mbo",NA,1
"yes","Yes","male",32,"primary education",15,3
"yes","No","female",53,"hbo",NA,4
"no","No","male",84,"hbo",NA,2
"no","No","male",63,"hbo",NA,3
"no","No","male",35,"wo",NA,10
"no","No","male",59,"hbo",NA,7
"no","No","female",42,"mbo",NA,6
"no","No","female",75,"hbo",NA,6
"no","No","female",55,"hbo",NA,4
"yes","No","female",24,"mbo",NA,1
"no","No","male",43,"hbo",NA,5
"no","No","female",74,"mbo",NA,5
"no","No","male",36,"wo",NA,NA
"no","No","female",62,"wo",NA,5
"no","No","female",71,"hbo",NA,4
"no","No","male",52,"primary education",NA,5
"no","No","female",81,"wo",NA,6
"no","No","male",74,"wo",NA,5
"no","No","male",79,"mbo",NA,2
"yes","No","male",56,"vmbo",NA,1
"no","No","male",58,"mbo",NA,50
"yes","Yes","female",33,"wo",4,2
"no","No","female",58,"hbo",NA,5
"no","No","female",38,"hbo",NA,27
"yes","No","male",58,"mbo",NA,10
"no","No","female",30,"wo",NA,6
"no","No","female",72,"hbo",NA,5
"no","No","female",52,"hbo",NA,5
"no","No","female",76,"mbo",NA,NA
"yes","No","female",56,"mbo",NA,11
"yes","No","female",25,"hbo",NA,10
"no","No","female",81,"hbo",NA,NA
"no","No","male",63,"hbo",NA,NA
"no","No","female",47,"mbo",NA,16
"no","No","male",74,"primary education",NA,7
"no","No","female",49,"hbo",NA,20
"yes","Yes","male",32,"hbo",37,6
"yes","Yes","male",31,"wo",27,5
"no","No","female",55,"havo/vwo",NA,2
"no","No","female",79,"vmbo",NA,NA
"no","No","female",49,"hbo",NA,2
"no","No","female",44,"hbo",NA,10
"no","No","female",63,"vmbo",NA,NA
"no","No","male",87,"hbo",NA,NA
"no","No","female",82,"vmbo",NA,NA
"no","No","male",55,"mbo",NA,6
"no","No","female",19,"primary education",NA,30
"no","No","male",72,"vmbo",NA,NA
"yes","No","male",71,"mbo",NA,6
"no","No","female",57,"mbo",NA,5
"yes","Yes","female",23,"wo",60,20
"yes","No","female",54,"hbo",NA,5
"no","No","male",85,"wo",NA,NA
"yes","Yes","female",41,"hbo",17,15
"no","No","female",71,"hbo",NA,4
"yes","No","female",35,"mbo",NA,5
"no","No","female",45,"mbo",NA,1
"no","No","male",70,"mbo",NA,4
"no","No","male",49,"hbo",NA,33
"no","No","male",72,"vmbo",NA,1
"no","No","female",19,"havo/vwo",NA,40
"no","No","male",46,"primary education",NA,NA
"yes","No","female",79,"vmbo",NA,4
"no","No","male",68,"havo/vwo",NA,6
"no","No","female",36,"mbo",NA,15
"no","No","female",59,"hbo",NA,NA
"no","No","female",74,"mbo",NA,2
"no","No","female",65,"hbo",NA,8
"no","No","male",49,"hbo",NA,20
"no","No","female",74,"hbo",NA,10
"yes","Yes","male",44,"hbo",101,20
"yes","No","male",40,"mbo",NA,3
"yes","No","male",16,"primary education",NA,3
"yes","Yes","female",47,"hbo",60,10
"no","No","female",64,"hbo",NA,7
"no","No","male",70,"mbo",NA,3
"no","No","female",39,"mbo",NA,13
"no","No","female",77,"vmbo",NA,1
"no","No","female",43,"primary education",NA,NA
"no","No","male",38,"hbo",NA,10
"no","No","male",65,"hbo",NA,3
"yes","Yes","male",42,"mbo",94,20
"no","No","male",74,"hbo",NA,NA
"no","No","male",63,"mbo",NA,2
"yes","No","male",73,"wo",NA,5
"yes","No","female",58,"hbo",NA,5
"no","No","female",75,"vmbo",NA,1
"no","No","male",56,"mbo",NA,NA
"no","No","female",64,"hbo",NA,10
"no","No","male",78,"vmbo",NA,NA
"no","No","male",40,"hbo",NA,3
"no","No","female",63,"hbo",NA,15
"no","No","male",74,"vmbo",NA,1
"no","No","female",64,"vmbo",NA,NA
"yes","Yes","male",35,"vmbo",45,5
"no","No","female",60,"hbo",NA,8
"yes","No","female",59,"hbo",NA,8
"yes","No","female",47,"havo/vwo",NA,NA
"yes","No","male",44,"wo",NA,8
"no","No","female",65,"mbo",NA,5
"yes","No","male",25,"wo",NA,25
"no","No","female",54,"hbo",NA,10
"no","No","male",68,"wo",NA,2
"yes","No","female",69,"hbo",NA,2
"no","No","female",52,"mbo",NA,10
"no","No","male",59,"wo",NA,10
"no","No","male",69,"wo",NA,1
"no","No","male",76,"vmbo",NA,2
"no","No","male",65,"hbo",NA,2
"yes","No","female",72,"hbo",NA,2
"no","No","female",79,"hbo",NA,3
"no","No","male",31,"mbo",NA,15
"yes","Yes","male",29,"hbo",110,15
"no","No","male",66,"mbo",NA,2
"no","No","male",63,"mbo",NA,20
"yes","Yes","male",64,"hbo",13,5
"no","No","male",35,"hbo",NA,NA
"yes","No","male",20,"primary education",NA,15
"no","No","female",16,"primary education",NA,2
"no","No","female",82,"vmbo",NA,2
"yes","Yes","male",54,"havo/vwo",NA,2
"no","No","female",60,"mbo",NA,3
"yes","No","male",62,"wo",NA,2
"no","No","male",70,"mbo",NA,2
"no","No","male",75,"mbo",NA,1
"yes","Yes","female",56,"mbo",5,2
"no","No","male",54,"hbo",NA,NA
"no","No","male",16,"primary education",NA,6
"no","No","male",64,"wo",NA,NA
"yes","No","male",34,"primary education",NA,NA
"no","No","male",61,"mbo",NA,NA
"no","No","female",71,"vmbo",NA,NA
"no","No","male",70,"mbo",NA,1
"no","No","male",39,"hbo",NA,15
"yes","No","female",17,"primary education",NA,10
"no","No","female",31,"mbo",NA,9
"no","No","male",48,"mbo",NA,6
"no","No","female",67,"wo",NA,4
"no","No","female",72,"vmbo",NA,6
"no","No","female",72,"hbo",NA,NA
"no","No","female",21,"havo/vwo",NA,20
"no","No","female",69,"mbo",NA,2
"yes","No","male",49,"mbo",NA,4
"no","No","female",25,"vmbo",NA,21
"no","No","female",62,"havo/vwo",NA,4
"yes","Yes","male",58,"mbo",20,6
"no","No","male",70,"vmbo",NA,NA
"no","No","female",70,"vmbo",NA,10
"no","No","male",57,"mbo",NA,NA
"no","No","female",66,"mbo",NA,5
"yes","No","male",55,"havo/vwo",NA,6
"no","No","male",38,"mbo",NA,40
"yes","No","female",44,"hbo",NA,30
"no","No","male",20,"mbo",NA,NA
"yes","No","female",29,"hbo",NA,35
"no","No","male",71,"hbo",NA,2
"no","No","female",67,"vmbo",NA,NA
"yes","Yes","male",55,"vmbo",32,20
"no","No","female",66,"mbo",NA,10
"no","No","female",24,"mbo",NA,10
"no","No","male",58,"hbo",NA,12
"no","No","male",71,"vmbo",NA,NA
"no","No","male",75,"vmbo",NA,NA
"no","No","female",68,"mbo",NA,2
"no","No","male",69,"mbo",NA,15
"no","No","male",76,"hbo",NA,3
"no","No","male",41,"hbo",NA,3
"no","No","female",67,"hbo",NA,10
"yes","No","male",57,"mbo",NA,5
"no","No","female",27,"hbo",NA,60
"no","No","male",70,"vmbo",NA,NA
"no","No","male",56,"mbo",NA,NA
"yes","No","female",41,"mbo",NA,1
"no","No","male",56,"hbo",NA,8
"no","No","female",49,"hbo",NA,30
"no","No","male",66,"vmbo",NA,2
"no","No","male",80,"vmbo",NA,1
"yes","No","male",54,"mbo",NA,30
"no","No","female",36,"mbo",NA,6
"no","No","female",54,"hbo",NA,10
"yes","Yes","male",27,"hbo",96,15
"no","No","female",69,"hbo",NA,5
"no","No","male",60,"vmbo",NA,3
"yes","No","female",28,"mbo",NA,14
"no","No","female",74,"primary education",NA,3
"no","No","male",54,"mbo",NA,1
"no","No","male",65,"wo",NA,10
"yes","Yes","female",23,"wo",54,15
"no","No","female",27,"mbo",NA,3
"no","No","female",25,"hbo",NA,5
"yes","No","male",28,"mbo",NA,15
"yes","Yes","female",22,"primary education",45,15
"no","No","male",61,"hbo",NA,2
"yes","No","female",22,"primary education",NA,10
"no","No","female",76,"mbo",NA,1
"no","No","female",71,"wo",NA,30
"no","No","female",71,"mbo",NA,NA
"no","No","female",71,"hbo",NA,NA
"no","No","male",81,"vmbo",NA,NA
"yes","No","male",79,"mbo",NA,3
"no","No","male",72,"hbo",NA,2
"no","No","female",44,"hbo",NA,8
"no","No","female",36,"hbo",NA,20
"no","No","female",69,"vmbo",NA,NA
"no","No","female",71,"mbo",NA,5
"no","No","female",72,"mbo",NA,1
"no","No","male",56,"vmbo",NA,3
